"@timestamp","_id","_index","_score",log,"log.keyword"
"Aug 15, 2023 @ 21:55:39.947","pMCN-okBiE4ckzJtvUTz","vm-2023.08.15","-","I0815 18:55:39.946947       1 custom_plugin_monitor.go:138] New status generated: &{Source:systemd-monitor Events:[] Conditions:[{Type:FrequentKubeletRestart Status:Unknown Transition:2023-08-09 18:05:41.141083409 +0000 UTC m=+37.588848479 Reason:NoFrequentKubeletRestart Message:kubelet is functioning properly} {Type:FrequentDockerRestart Status:Unknown Transition:2023-08-09 18:05:41.240467287 +0000 UTC m=+37.688232273 Reason:NoFrequentDockerRestart Message:docker is functioning properly} {Type:FrequentContainerdRestart Status:Unknown Transition:2023-08-09 18:05:41.334341865 +0000 UTC m=+37.782106848 Reason:NoFrequentContainerdRestart Message:containerd is functioning properly}]}","I0815 18:55:39.946947       1 custom_plugin_monitor.go:138] New status generated: &{Source:systemd-monitor Events:[] Conditions:[{Type:FrequentKubeletRestart Status:Unknown Transition:2023-08-09 18:05:41.141083409 +0000 UTC m=+37.588848479 Reason:NoFrequentKubeletRestart Message:kubelet is functioning properly} {Type:FrequentDockerRestart Status:Unknown Transition:2023-08-09 18:05:41.240467287 +0000 UTC m=+37.688232273 Reason:NoFrequentDockerRestart Message:docker is functioning properly} {Type:FrequentContainerdRestart Status:Unknown Transition:2023-08-09 18:05:41.334341865 +0000 UTC m=+37.782106848 Reason:NoFrequentContainerdRestart Message:containerd is functioning properly}]}"
"Aug 15, 2023 @ 21:55:39.946","osCN-okBiE4ckzJtvUTz","vm-2023.08.15","-","I0815 18:55:39.946860       1 plugin.go:111] Add check result {Rule:0xc0000e21c0 ExitStatus:2 Message:error watching journald: failed to stat the log path ""/var/log/journal"": stat /v} for rule &{Type:permanent Condition:FrequentContainerdRestart Reason:FrequentContainerdRestart Path:/home/kubernetes/bin/log-counter Args:[--journald-source=systemd --log-path=/var/log/journal --lookback=20m --count=5 --pattern=Starting containerd container runtime...] TimeoutString:0xc00004a680 Timeout:1m0s}","I0815 18:55:39.946860       1 plugin.go:111] Add check result {Rule:0xc0000e21c0 ExitStatus:2 Message:error watching journald: failed to stat the log path ""/var/log/journal"": stat /v} for rule &{Type:permanent Condition:FrequentContainerdRestart Reason:FrequentContainerdRestart Path:/home/kubernetes/bin/log-counter Args:[--journald-source=systemd --log-path=/var/log/journal --lookback=20m --count=5 --pattern=Starting containerd container runtime...] TimeoutString:0xc00004a680 Timeout:1m0s}"
"Aug 15, 2023 @ 21:55:39.946","o8CN-okBiE4ckzJtvUTz","vm-2023.08.15","-","I0815 18:55:39.946927       1 plugin.go:116] Finish running custom plugins","I0815 18:55:39.946927       1 plugin.go:116] Finish running custom plugins"
"Aug 15, 2023 @ 21:55:39.942","oMCN-okBiE4ckzJtvUTz","vm-2023.08.15","-","I0815 18:55:39.942221       1 plugin.go:111] Add check result {Rule:0xc0000e20e0 ExitStatus:2 Message:error watching journald: failed to stat the log path ""/var/log/journal"": stat /v} for rule &{Type:permanent Condition:FrequentDockerRestart Reason:FrequentDockerRestart Path:/home/kubernetes/bin/log-counter Args:[--journald-source=systemd --log-path=/var/log/journal --lookback=20m --count=5 --pattern=Starting Docker Application Container Engine...] TimeoutString:0xc00004a670 Timeout:1m0s}","I0815 18:55:39.942221       1 plugin.go:111] Add check result {Rule:0xc0000e20e0 ExitStatus:2 Message:error watching journald: failed to stat the log path ""/var/log/journal"": stat /v} for rule &{Type:permanent Condition:FrequentDockerRestart Reason:FrequentDockerRestart Path:/home/kubernetes/bin/log-counter Args:[--journald-source=systemd --log-path=/var/log/journal --lookback=20m --count=5 --pattern=Starting Docker Application Container Engine...] TimeoutString:0xc00004a670 Timeout:1m0s}"
"Aug 15, 2023 @ 21:55:39.942","ocCN-okBiE4ckzJtvUTz","vm-2023.08.15","-","I0815 18:55:39.942326       1 custom_plugin_monitor.go:138] New status generated: &{Source:systemd-monitor Events:[] Conditions:[{Type:FrequentKubeletRestart Status:Unknown Transition:2023-08-09 18:05:41.141083409 +0000 UTC m=+37.588848479 Reason:NoFrequentKubeletRestart Message:kubelet is functioning properly} {Type:FrequentDockerRestart Status:Unknown Transition:2023-08-09 18:05:41.240467287 +0000 UTC m=+37.688232273 Reason:NoFrequentDockerRestart Message:docker is functioning properly} {Type:FrequentContainerdRestart Status:Unknown Transition:2023-08-09 18:05:41.334341865 +0000 UTC m=+37.782106848 Reason:NoFrequentContainerdRestart Message:containerd is functioning properly}]}","I0815 18:55:39.942326       1 custom_plugin_monitor.go:138] New status generated: &{Source:systemd-monitor Events:[] Conditions:[{Type:FrequentKubeletRestart Status:Unknown Transition:2023-08-09 18:05:41.141083409 +0000 UTC m=+37.588848479 Reason:NoFrequentKubeletRestart Message:kubelet is functioning properly} {Type:FrequentDockerRestart Status:Unknown Transition:2023-08-09 18:05:41.240467287 +0000 UTC m=+37.688232273 Reason:NoFrequentDockerRestart Message:docker is functioning properly} {Type:FrequentContainerdRestart Status:Unknown Transition:2023-08-09 18:05:41.334341865 +0000 UTC m=+37.782106848 Reason:NoFrequentContainerdRestart Message:containerd is functioning properly}]}"
"Aug 15, 2023 @ 21:55:39.937","nsCN-okBiE4ckzJtvUTz","vm-2023.08.15","-","I0815 18:55:39.937528       1 plugin.go:111] Add check result {Rule:0xc0000e2070 ExitStatus:2 Message:error watching journald: failed to stat the log path ""/var/log/journal"": stat /v} for rule &{Type:permanent Condition:FrequentKubeletRestart Reason:FrequentKubeletRestart Path:/home/kubernetes/bin/log-counter Args:[--journald-source=systemd --log-path=/var/log/journal --lookback=20m --delay=5m --count=5 --pattern=Started Kubernetes kubelet.] TimeoutString:0xc00004a660 Timeout:1m0s}","I0815 18:55:39.937528       1 plugin.go:111] Add check result {Rule:0xc0000e2070 ExitStatus:2 Message:error watching journald: failed to stat the log path ""/var/log/journal"": stat /v} for rule &{Type:permanent Condition:FrequentKubeletRestart Reason:FrequentKubeletRestart Path:/home/kubernetes/bin/log-counter Args:[--journald-source=systemd --log-path=/var/log/journal --lookback=20m --delay=5m --count=5 --pattern=Started Kubernetes kubelet.] TimeoutString:0xc00004a660 Timeout:1m0s}"
"Aug 15, 2023 @ 21:55:39.937","n8CN-okBiE4ckzJtvUTz","vm-2023.08.15","-","I0815 18:55:39.937657       1 custom_plugin_monitor.go:138] New status generated: &{Source:systemd-monitor Events:[] Conditions:[{Type:FrequentKubeletRestart Status:Unknown Transition:2023-08-09 18:05:41.141083409 +0000 UTC m=+37.588848479 Reason:NoFrequentKubeletRestart Message:kubelet is functioning properly} {Type:FrequentDockerRestart Status:Unknown Transition:2023-08-09 18:05:41.240467287 +0000 UTC m=+37.688232273 Reason:NoFrequentDockerRestart Message:docker is functioning properly} {Type:FrequentContainerdRestart Status:Unknown Transition:2023-08-09 18:05:41.334341865 +0000 UTC m=+37.782106848 Reason:NoFrequentContainerdRestart Message:containerd is functioning properly}]}","I0815 18:55:39.937657       1 custom_plugin_monitor.go:138] New status generated: &{Source:systemd-monitor Events:[] Conditions:[{Type:FrequentKubeletRestart Status:Unknown Transition:2023-08-09 18:05:41.141083409 +0000 UTC m=+37.588848479 Reason:NoFrequentKubeletRestart Message:kubelet is functioning properly} {Type:FrequentDockerRestart Status:Unknown Transition:2023-08-09 18:05:41.240467287 +0000 UTC m=+37.688232273 Reason:NoFrequentDockerRestart Message:docker is functioning properly} {Type:FrequentContainerdRestart Status:Unknown Transition:2023-08-09 18:05:41.334341865 +0000 UTC m=+37.782106848 Reason:NoFrequentContainerdRestart Message:containerd is functioning properly}]}"
"Aug 15, 2023 @ 21:55:39.932","ncCN-okBiE4ckzJtvUTz","vm-2023.08.15","-","I0815 18:55:39.932152       1 plugin.go:86] Start to run custom plugins","I0815 18:55:39.932152       1 plugin.go:86] Start to run custom plugins"
"Aug 15, 2023 @ 21:55:39.903","msCN-okBiE4ckzJtvUTz","vm-2023.08.15","-","I0815 18:55:39.903637       1 plugin.go:111] Add check result {Rule:0xc0000e2000 ExitStatus:2 Message:error watching journald: failed to stat the log path ""/var/log/journal"": stat /v} for rule &{Type:permanent Condition:FrequentUnregisterNetDevice Reason:UnregisterNetDevice Path:/home/kubernetes/bin/log-counter Args:[--journald-source=kernel --log-path=/var/log/journal --lookback=20m --count=3 --pattern=unregister_netdevice: waiting for \w+ to become free. Usage count = \d+] TimeoutString:0xc00004a590 Timeout:1m0s}","I0815 18:55:39.903637       1 plugin.go:111] Add check result {Rule:0xc0000e2000 ExitStatus:2 Message:error watching journald: failed to stat the log path ""/var/log/journal"": stat /v} for rule &{Type:permanent Condition:FrequentUnregisterNetDevice Reason:UnregisterNetDevice Path:/home/kubernetes/bin/log-counter Args:[--journald-source=kernel --log-path=/var/log/journal --lookback=20m --count=3 --pattern=unregister_netdevice: waiting for \w+ to become free. Usage count = \d+] TimeoutString:0xc00004a590 Timeout:1m0s}"
"Aug 15, 2023 @ 21:55:39.903","m8CN-okBiE4ckzJtvUTz","vm-2023.08.15","-","I0815 18:55:39.903715       1 plugin.go:116] Finish running custom plugins","I0815 18:55:39.903715       1 plugin.go:116] Finish running custom plugins"
